Date,Speaker,crime_gt_score,economy_gt_score,elites_gt_score,people_gt_score,service_gt_score,violence_gt_score,war_gt_score,they_gt_score,we_gt_score
2019-01-01,Trump,,,,,,,,,
2019-02-01,Trump,0.6378454996456413,1.72454523978266,0.2834868887313962,0.04724781478856603,0.4252303330970942,1.582801795416962,0.2362390739428301,1.734174145040019,3.395585738539898
2019-03-01,Trump,0.2732862673650649,2.322933272603052,0.5693463903438852,0.0,0.2277385561375541,1.115918925074015,0.1594169892962879,2.62065953264905,3.570648613234331
2019-04-01,Trump,0.1028383381324558,3.290826820238585,0.3702180172768408,0.0,0.3085150143973673,0.9872480460715755,0.2879473467708762,1.754748142031379,2.941783649876136
2019-05-01,Trump,0.3330557868442964,2.44240910352484,0.4163197335553705,0.0,0.8048848182070497,1.248959200666111,0.2497918401332223,1.767241379310345,3.520114942528735
2019-06-01,Trump,0.4167688158862466,0.9806325079676391,0.07354743809757293,0.07354743809757293,0.6128953174797744,1.716106888943368,0.2451581269919098,2.475601047369674,2.808855034515592
2019-07-01,Trump,0.1142421934501142,1.942117288651942,0.2665651180502666,0.07616146230007616,0.2475247524752475,1.066260472201066,0.3236862147753237,3.313666855249333,3.418734340903581
2019-08-01,Trump,0.3154574132492113,2.819400630914827,0.2168769716088328,0.01971608832807571,0.3943217665615142,1.24211356466877,0.1774447949526814,1.686842627505458,3.631672950982338
2019-09-01,Trump,0.0,4.120676968359088,0.07358351729212656,0.07358351729212656,0.515084621044886,0.5886681383370125,0.2207505518763797,0.5258899676375405,4.935275080906148
2019-10-01,Trump,0.1715592832634388,2.058711399161266,0.4193671368661838,0.01906214258482654,0.2287457110179184,1.658406404879909,0.4193671368661838,2.453338464498749,2.790071194920146
2019-11-01,Trump,0.2613065326633165,1.949748743718593,0.6432160804020101,0.02010050251256281,0.5427135678391959,1.386934673366834,0.3819095477386935,1.778455284552845,2.611788617886179
2019-12-01,Trump,0.3469545104086353,1.869699306090979,0.4047802621434078,0.0963762528912876,0.481881264456438,1.368542791056284,0.3469545104086353,2.801217920835146,3.323183993040452
2020-01-01,Trump,0.3785011355034065,2.195306585919758,0.1703255109765329,0.0,0.6623769871309614,1.476154428463285,0.1514004542013626,2.285467874083657,2.492453643811988
2020-02-01,Trump,0.1322001888574127,2.001888574126534,0.226628895184136,0.01888574126534466,0.339943342776204,1.794145420207743,0.4532577903682719,2.281709044813959,3.325628215643874
2020-03-01,Trump,0.262085032032615,1.68899242865463,0.320326150262085,0.05824111822947001,0.4659289458357601,2.242283051834595,0.495049504950495,1.317982123920618,2.651113467656416
2020-04-01,Trump,,,,,,,,,
2020-05-01,Trump,0.0,3.263516804676084,0.0,0.0,0.3896736483195324,0.9254749147588894,0.1948368241597662,1.583820662768031,3.508771929824561
2020-06-01,Trump,0.0,2.691721686135094,0.05078720162519045,0.0,0.2539360081259522,2.183849669883189,1.726764855256475,1.360712518555171,3.463631865413161
2020-07-01,Trump,,,,,,,,,
2020-08-01,Trump,0.5141388174807198,1.91373893173379,0.1142530705512711,0.02856326763781777,0.6855184233076265,1.999428734647244,0.3427592116538132,2.153721900659577,3.190200565351999
2020-09-01,Trump,0.236655272153563,1.498816723639232,0.2103602419142782,0.0,0.5259006047856954,1.577701814357086,0.236655272153563,1.844724618447246,3.145321831453218
