term
corrupt*
liar*
lied
lies
lying
donor*
phony
crooked
hate* the United States
rott*
traitor*
incompetent
conspire*
collud*
collus*
rip* off
cover* up
rigg*
rig
tyrant*
save our country
hate our country
smears
dishonest*
big fix
the stupidity of our President
than Watergate
swamp
crony
cronies
schem*
lobby*
special interest*
scam*
deep state
globalist*
political class
Wall Street
establishment
betray*
the status quo
against the system
insider*
weaponiz*
tyrant*
big corporation*
big pharma
bureaucra*
big oil
billionaire*
trial lawyers
powerful forces
powerful interests
special-interest
the powerful
the elite
opinion maker*
opinionmaker*
so-called expert*
politicians in Washington
folks in Washington
leaders in Washington
big government
tasselled loafer*
plutocra*
magnate*
foreign policy elite
agents of influence
transnational elite
regulators
the establishment in Washington
trans-national corporations
big government
PAC guys
lost touch with the people
the filthy rich
big-wheeling
cocktail party boys
carpetbagger
multinationals
rip you off
rip-off
tax shelters
masters of finance
fortunes
overlords
rich people
owning class
rich men
in the hands of the few
financial cannibals
market-rigging
persons of influence
financiers
money changers
financial manipulators
supermillionaire*
the rich
1 percent of the people
the 1 percent
