term
affordable
auditor
auditors
borrow*
bought
budget*
buy*
cheap
cheaper
currenc*
customer*
debt*
deposit*
discount*
dollar
dollars
earnings
econ*
recession*
rent*
retail*
revenue*
richer
riches
richest
salar*
sale
sales
saving*
sell
selling
shop
sold
store
trade*
trading
wage
wages
wealth
wealthier
wealthiest
wealthy
exchang*
expenses
expensive
fees
financ*
fund
income*
insurance
invest
investment*
invested
invests
lease*
lend
lending
loan*
market*
merchant*
money*
monopol*
mortg*
pension*
pesetas
poverty*
price*
prici*
profit*
purchas*
salary
stock
commerc*
growth
job
jobs
product*
industry
industries
industrial
industrializing
industrialization
manufactur*
labour*
labor
labored
laboring
labors
produce*
consum*
factory
factories
remunerat*
goods
employ*
unemploy*
inflation
agricultur*
agrarian
tariff
ration
rationing
export*
import
imports
imported
output
entrepreneur*
efficien*
prosper*
deficit
farming
cultivation
