term
massacre*
war
warfare*
wars
warring
rout
routed
routs
routing
battle
battles
martyr
martyrs
martyred
armies
army
invade*
invasion
skirmish*
soldier*
conquer*
cannon*
atrocity
atrocities
bayonet*
siege*
surrender*
armament*
tanks
artillery
mortar*
armor*
conquest
militar*
crusade*
navy
scourge
vanquish*
troops
brigade*
