term
aggress*
annihilat*
armament*
armed
armies
armor*
army
arrest*
artillery
assault*
atrocities
atrocity
attack*
barbar*
battle
battles
bayonet*
bled
bleed*
blood*
bomb*
brigade*
brutal*
bullet*
butcher*
cannon*
captive
casualt*
clash*
combat*
conflict*
conquer*
conquest
crime*
criminal*
cruel*
crusade*
crush*
dead
deadly
death*
demise
destroy*
destruct*
detention
die
died
dies
dying
enemies
enemy
enmity
enslave*
eradicat*
explode*
explos*
exterminat*
fatal*
fight*
fought
funeral*
gun
gunned
guns
harass*
harm
harmed
harms
hatred*
holocaust*
hostage*
hostil*
hurt
hurts
imprison*
incarcerat*
injur*
invade*
invasion
jail*
kill*
liquidation
martyr
martyred
martyrs
massacre*
militar*
mistreat*
mortar*
mourn*
murder*
mutilat*
navy
oppress*
pain
painful
pains
perish*
persecut*
plunder*
police*
prey
prison*
prosecut*
punish*
ravage*
rout
routed
routing
routs
scourge
shatter*
siege*
skirmish*
slaughter*
slave*
smash*
soldier*
starv*
strike
struck
suffer*
surrender*
tanks
terror
terrorism
terrorist*
torment*
troops
tyranniz*
vanquish*
victim*
violence
violent
war
warfare*
warring
wars
weapon*
wound*
